City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
144,Shache,CN,285.26,few clouds,38.4167,77.2406,Delong Hotel
145,Coos Bay,US,279.26,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
148,Aksu,CN,276.15,few clouds,41.1231,80.2644,Pudong Holiday Hotel
154,Lagoa,PT,289.12,scattered clouds,39.05,-27.9833,Casa Das Faias
156,Torbay,CA,273.31,overcast clouds,47.6666,-52.7314,Gallows Cove
157,Dzerzhinsk,RU,272.05,light snow,56.2389,43.4631,Hotel Druzhba
158,Sitka,US,275.66,light rain,57.0531,-135.33,Westmark Sitka
159,Freeport,US,275.47,light rain,40.6576,-73.5832,The Freeport Inn and Marina
162,Ayan,RU,266.43,light snow,56.45,138.1667,Gostinitsa
163,Laguna,US,284.96,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
164,Clyde River,CA,253.28,broken clouds,70.4692,-68.5914,Qamaq Hotel
165,Artyom,AZ,283.23,few clouds,40.4723,50.333,Merdan Respect
166,Holme,DK,275.17,overcast clouds,56.1138,10.1725,Hotel Ritz Aarhus City
167,Seoul,KR,283.91,clear sky,37.5683,126.9778,Lotte Hotel Seoul
169,Tiksi,RU,243.48,overcast clouds,71.6872,128.8694,Arktika
170,Manzhouli,CN,268.82,overcast clouds,49.6,117.4333,Angala International Youth Hostel
172,Usolye,RU,269.94,overcast clouds,59.4268,56.6808,Novostroy
173,Juegang,CN,287.87,overcast clouds,32.3174,121.1855,Rudong Y Hotel
180,Leh,IN,264.65,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
182,Narsaq,GL,263.75,broken clouds,60.9167,-46.05,Sleep In Narsaq
183,Eucaliptus,BO,282.09,overcast clouds,-17.5833,-67.5167,Hotel Serrano
194,Goderich,CA,272.54,overcast clouds,43.7501,-81.7165,Harmony Inn
195,Urumqi,CN,270.68,light snow,43.801,87.6005,Hua Ling Grand Hotel Urumqi
196,Qaanaaq,GL,258.83,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
197,Peleduy,RU,259.6,overcast clouds,59.6289,112.7406,Гостиница «Уют»
200,Vila Franca Do Campo,PT,288.26,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
201,Constitucion,CL,286.48,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
203,Roald,NO,277.23,scattered clouds,62.5833,6.1333,Flem Cabins
204,Saint-Francois,FR,276.84,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
205,Rivers,CA,264.68,overcast clouds,50.0308,-100.2403,Blue Crescent Hotels
207,Ketchikan,US,274.04,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
208,Chop,UA,269.62,broken clouds,48.431999999999995,22.2055,Hotel & Restaurant Smarahd
212,Husavik,IS,264.1,overcast clouds,66.0449,-17.3389,Bjarnabúð
216,Mayo,US,276.45,clear sky,38.8876,-76.5119,Resorts Resource Group International
217,Paamiut,GL,267.14,broken clouds,61.994,-49.6678,Pistut
218,Whitehorse,CA,259.32,light snow,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
221,College,US,261.96,light snow,64.8569,-147.8028,Pike's Waterfront Lodge
222,Kuzedeyevo,RU,255.88,overcast clouds,53.3308,87.2019,Lavochka
223,Praia Da Vitoria,PT,288.01,broken clouds,38.7333,-27.0667,Hotel Branco I
224,Maloy,NO,277.44,scattered clouds,61.9353,5.1136,Torget Hotell
226,Chapleau,CA,251.25,overcast clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
232,Margate,GB,279.21,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
237,Kaduna,NG,289.51,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
240,Baruun-Urt,MN,269.35,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
241,Las Margaritas,MX,287.98,overcast clouds,16.3167,-91.9833,Fam Esponda Arguello
246,Olafsvik,IS,275.01,moderate rain,64.8945,-23.7142,Hotel Olafsvik
248,Castro,BR,283.4,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
252,Zhigansk,RU,239.23,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
254,Nangong,CN,283.36,clear sky,37.3581,115.3744,7Days Inn Xingtai South Yucai Road
256,Iqaluit,CA,260.0,light snow,63.7506,-68.5145,Frobisher Inn
257,Tasiilaq,GL,270.58,overcast clouds,65.6145,-37.6368,The Red House
259,Lipin Bor,RU,254.18,overcast clouds,60.2622,37.9763,Priozor'ye
262,Haicheng,CN,280.25,overcast clouds,40.8516,122.7475,Haicheng Grand Hotel
266,La Ronge,CA,258.29,snow,55.1001,-105.2842,Northland Motor Hotel
269,Shingu,JP,288.7,clear sky,33.7333,135.9833,Shingu UI Hotel
270,Rio Negro,BR,285.73,scattered clouds,-26.1058,-49.7975,Hotel Emacite Flex
271,Svetlogorsk,BY,269.07,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
274,Portland,US,277.47,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
276,Bath,GB,280.25,scattered clouds,51.3779,-2.3591,Francis Hotel Bath - MGallery
277,Tachov,CZ,272.3,light snow,49.7953,12.6337,Park Hotel Tachov
280,Lasa,IT,271.56,light snow,46.6166,10.7002,Pension Feldgärtenhof
283,Harrisburg,US,274.31,scattered clouds,40.2737,-76.8844,Hilton Harrisburg
284,Bilma,NE,287.12,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
291,Sorland,NO,264.19,few clouds,67.667,12.6934,Sjybrygga fiskecamp
292,Calama,CL,284.42,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
293,Bilibino,RU,236.56,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
296,Raudeberg,NO,276.96,scattered clouds,61.9875,5.1352,Nordre Silda.
297,Madison,US,278.56,clear sky,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
307,Piotrkow Trybunalski,PL,269.68,overcast clouds,51.4055,19.7032,Best Western Hotel Trybunalski
308,Ulaangom,MN,266.76,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
309,Cooma,AU,285.02,light rain,-36.2333,149.1333,High Country Motel
310,Waddan,LY,282.21,clear sky,29.1614,16.139,محل الشريف محمد العايب
311,Berlevag,NO,265.42,few clouds,70.8578,29.0864,Kvitbrakka
312,Vernon,CA,272.49,broken clouds,50.2581,-119.2691,Prestige Vernon Lodge and Conference Centre
315,Vardo,NO,266.68,clear sky,70.3705,31.1107,Vardø Hotel AS
317,Zilair,RU,262.15,overcast clouds,52.2332,57.4392,Gostinitsa Rina
318,Sterling,US,275.56,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
319,Karacabey,TR,283.96,broken clouds,40.2152,28.4038,Uludağ Üniversitesi Sadık Yılmaz Öğrenci Yurdu
320,Osorno,CL,288.32,clear sky,-40.5667,-73.15,Sonesta Hotel Osorno
321,Lakselv,NO,262.05,light snow,70.0513,24.9718,Lakselv Hotel
323,Shimoda,JP,286.35,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
324,Fayetteville,US,276.75,mist,35.0527,-78.8784,American Eagle Inn
327,Nizhniy Odes,RU,258.57,overcast clouds,63.6445,54.856,Gostinitsa Uyut
