City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Tonj,SS,2021-12-09 05:50:57,7.2737,28.6822,300.43,25,52,3.05,broken clouds
60,Ponta Do Sol,PT,2021-12-09 05:50:59,32.6667,-17.1,291.5,58,26,3.73,scattered clouds
61,Kodiak,US,2021-12-09 05:51:01,57.79,-152.4072,274.88,48,1,1.54,clear sky
62,Sangmelima,CM,2021-12-09 05:51:02,2.9333,11.9833,293.97,89,48,0.72,scattered clouds
63,Georgetown,MY,2021-12-09 05:46:39,5.4112,100.3354,305.87,60,20,3.13,few clouds
64,Barrow,US,2021-12-09 05:51:05,71.2906,-156.7887,257.16,85,90,10.29,light snow
65,Homer,US,2021-12-09 05:51:06,59.6425,-151.5483,274.09,64,90,5.14,overcast clouds
66,Barra Do Garcas,BR,2021-12-09 05:51:07,-15.89,-52.2567,294.94,76,13,1.51,few clouds
67,Kvarkeno,RU,2021-12-09 05:51:09,52.0833,59.725,261.74,76,100,3.41,overcast clouds
68,San Lawrenz,MT,2021-12-09 05:51:11,36.0553,14.204,287.82,82,11,0.89,few clouds
69,Nuuk,GL,2021-12-09 05:51:12,64.1835,-51.7216,262.81,80,100,2.59,overcast clouds
70,Aklavik,CA,2021-12-09 05:51:13,68.2191,-135.0107,259.61,94,100,0.84,overcast clouds
71,Bethel,US,2021-12-09 05:51:16,41.3712,-73.414,274.11,86,93,2.54,overcast clouds
72,Touros,BR,2021-12-09 05:51:17,-5.1989,-35.4608,299.65,77,42,5.87,scattered clouds
73,Natal,BR,2021-12-09 05:51:18,-5.795,-35.2094,300.27,83,40,4.12,scattered clouds
74,Kaitangata,NZ,2021-12-09 05:51:20,-46.2817,169.8464,288.11,79,100,3.4,overcast clouds
75,Iralaya,HN,2021-12-09 05:51:21,15.0,-83.2333,298.77,80,78,4.72,broken clouds
76,Torbat-E Jam,IR,2021-12-09 05:51:22,35.244,60.6225,284.87,30,0,2.01,clear sky
77,Pisco,PE,2021-12-09 05:51:23,-13.7,-76.2167,292.18,82,0,2.57,clear sky
78,Hamilton,US,2021-12-09 05:51:25,39.1834,-84.5333,271.72,88,1,1.54,clear sky
79,Cidreira,BR,2021-12-09 05:51:26,-30.1811,-50.2056,291.89,82,22,5.21,few clouds
80,Tucuman,AR,2021-12-09 05:50:05,-26.8241,-65.2226,298.15,78,0,3.09,clear sky
